band,wavelength,throughput_frac
tianyu,7919.517815, 0.6401896530483053
tianyu,7937.052236, 0.6404423048744847
tianyu,7954.586658, 0.6407050127750222
tianyu,7972.121079, 0.6409911848490621
tianyu,7989.655501, 0.6412136684521672
tianyu,8007.189922, 0.6413908997206605
tianyu,8024.724343, 0.6415312587165074
tianyu,8042.258765, 0.6416850258114984
tianyu,8059.793186, 0.6418220327825592
tianyu,8077.327608, 0.6419389276049038
tianyu,8094.862029, 0.6420709065387855
tianyu,8112.396451, 0.6422062374974533
tianyu,8129.930872,0.642334864
tianyu,8147.465293, 0.6424366751173562
tianyu,8164.999715, 0.6425552459520938
tianyu,8182.534136, 0.6426788448240104
tianyu,8200.068558, 0.6428108237578921
tianyu,8217.602979, 0.6429763229396344
tianyu,8235.1374, 0.6431183579478742
tianyu,8252.671822, 0.6432184926462885
tianyu,8270.206243, 0.6433454435429912
tianyu,8287.740665, 0.6434774224768729
tianyu,8305.275086, 0.6436177814727198
tianyu,8322.809507, 0.6437464083818154
tianyu,8340.343929, 0.6438884433900552
tianyu,8357.87835, 0.6440338304230812
tianyu,8375.412772, 0.6441892735304653
tianyu,8392.947193, 0.6443380125882773
tianyu,8410.481614, 0.6444683155097659
tianyu,8428.016036, 0.6446019704560407
tianyu,8445.550457,0.644710485
tianyu,8463.084879, 0.6448458161750878
tianyu,8480.6193, 0.6449928792205069
tianyu,8494.965645, 0.6451014714436438
